Datetime,Open,High,Low,Close,side,exit_price,original_status
2022-05-26 07:00:00,4028.25,4032.25,4026.5,4030.25,short,3998.75,lose
2022-05-26 07:33:00,4034.5,4034.75,4031.75,4032.0,long,4032.75,lose
2022-05-26 08:00:00,4042.5,4045.75,4041.5,4045.5,long,4037.5,win
2022-05-26 08:30:00,4045.0,4047.75,4044.25,4047.25,short,4046.5,win
2022-05-26 09:30:00,4059.75,4061.75,4059.5,4060.75,short,4059.25,lose
2022-05-26 10:00:00,4066.25,4067.0,4066.0,4066.5,long,4058.75,win
2022-05-26 10:30:00,4059.25,4060.75,4058.75,4059.5,short,4069.0,win
2022-05-26 11:07:00,4062.25,4063.25,4061.0,4061.75,short,4061.25,win
2022-05-26 12:02:00,4059.0,4059.75,4057.0,4058.75,long,4057.5,lose
2022-05-26 12:30:00,4054.25,4057.0,4053.0,4054.75,long,4056.0,win
2022-05-26 13:00:00,4054.25,4056.75,4052.0,4054.5,short,4054.0,win
2022-05-26 14:00:00,4050.5,4050.75,4050.25,4050.75,prev,4054.25,END local
2022-05-27 07:29:00,4121.5,4121.75,4118.75,4119.5,long,4120.5,win
2022-05-27 07:59:00,4112.75,4113.0,4111.25,4112.25,long,4114.25,lose
2022-05-27 08:31:00,4122.25,4123.0,4120.5,4122.25,short,4123.0,lose
2022-05-27 08:59:00,4127.5,4128.25,4127.25,4128.0,long,4122.25,win
2022-05-27 09:34:00,4125.0,4125.75,4124.0,4124.5,long,4124.0,lose
2022-05-27 10:28:00,4125.25,4126.75,4124.75,4126.5,short,4124.75,win
2022-05-27 11:41:00,4129.25,4129.75,4127.0,4127.5,short,4127.0,win
2022-05-27 11:59:00,4134.75,4135.0,4133.75,4134.25,long,4131.25,win
2022-05-27 12:29:00,4147.25,4148.0,4146.25,4146.75,short,4143.5,lose
2022-05-27 12:59:00,4152.25,4157.0,4151.25,4156.75,long,4145.0,win
2022-05-27 13:30:00,4165.0,4166.75,4164.75,4165.75,short,4166.0,lose
