Datetime,Open,High,Low,Close,side,reg_line_val,status,entry_price,exit_price,original_status
2022-05-02 07:03:00,4133.25,4136.75,4128.75,4131.25,short,,,4136.75,,
2022-05-02 07:04:00,4131.25,4137.75,4131.0,4136.5,short,,,,4134.75,win
2022-05-02 07:05:00,4136.25,4136.75,4127.0,4127.5,long,,,4137.75,,
2022-05-02 07:06:00,4127.5,4127.5,4113.0,4114.75,long,,,,4132.75,lose
2022-05-02 07:26:00,4145.5,4156.0,4145.25,4153.5,short,,,4147.75,,
2022-05-02 07:30:00,4150.75,4161.0,4149.5,4158.5,short,,,,4152.75,lose
2022-05-02 07:44:00,4155.5,4155.5,4144.5,4147.5,long,,,4163.25,,
2022-05-02 07:45:00,4147.5,4148.25,4144.5,4147.75,long,,,,4158.25,lose
2022-05-02 08:12:00,4121.25,4125.0,4120.5,4121.75,short,,,4124.5,,
2022-05-02 08:13:00,4121.75,4127.5,4121.0,4124.25,short,,,,4122.5,win
2022-05-02 08:17:00,4117.75,4117.75,4107.25,4107.75,long,,,4119.25,,
2022-05-02 08:18:00,4108.0,4112.25,4107.25,4111.5,long,,,,4114.25,lose
2022-05-02 08:22:00,4113.0,4116.75,4112.5,4116.25,short,,,4114.25,,
2022-05-02 08:24:00,4115.25,4115.75,4112.0,4113.5,short,,,,4112.25,win
2022-05-02 09:18:00,4114.75,4122.0,4114.5,4120.75,short,,,4120.75,,
2022-05-02 09:20:00,4124.0,4130.0,4123.5,4129.25,short,,,,4125.75,lose
2022-05-02 09:27:00,4118.75,4121.0,4114.75,4119.75,long,,,4121.75,,
2022-05-02 09:28:00,4119.75,4120.25,4115.75,4118.25,long,,,,4116.75,lose
2022-05-02 09:30:00,4120.75,4123.25,4119.75,4122.5,short,,,4122.0,,
2022-05-02 09:31:00,4122.25,4122.75,4117.0,4118.25,short,,,,4120.0,win
2022-05-02 09:35:00,4124.5,4128.75,4116.75,4120.25,long,,,4122.75,,
2022-05-02 09:36:00,4119.75,4121.25,4116.25,4120.5,long,,,,4117.75,lose
2022-05-02 10:07:00,4091.0,4098.0,4090.0,4096.5,short,,,4094.5,,
