"Date","Time","Open","High","Low","Close","Up","Down"
05/10/2022,15:00:01,3990.50,3991.75,3990.25,3990.75,28,196
05/10/2022,15:00:02,3990.75,3990.75,3990.75,3990.75,0,4
05/10/2022,15:00:03,3990.50,3991.25,3990.50,3990.75,13,16
05/10/2022,15:00:04,3991.00,3991.25,3991.00,3991.25,7,0
05/10/2022,15:00:05,3991.50,3991.50,3990.75,3990.75,4,2
05/10/2022,15:00:06,3991.00,3991.25,3990.75,3990.75,7,13
05/10/2022,15:00:07,3990.75,3990.75,3990.75,3990.75,0,3
05/10/2022,15:00:08,3991.00,3991.00,3991.00,3991.00,6,0
05/10/2022,15:00:10,3991.00,3991.00,3990.75,3990.75,1,1
05/10/2022,15:00:12,3990.75,3990.75,3990.50,3990.50,0,5
05/10/2022,15:00:13,3990.50,3990.50,3990.25,3990.25,0,20
05/10/2022,15:00:14,3990.25,3990.25,3990.00,3990.25,4,10
05/10/2022,15:00:16,3990.00,3990.00,3990.00,3990.00,0,3
05/10/2022,15:00:17,3989.75,3989.75,3989.75,3989.75,0,1
05/10/2022,15:00:18,3989.75,3990.00,3989.75,3989.75,1,5
05/10/2022,15:00:19,3989.50,3989.50,3989.50,3989.50,0,2
05/10/2022,15:00:20,3989.50,3989.50,3989.50,3989.50,0,1
05/10/2022,15:00:21,3989.50,3989.50,3989.50,3989.50,0,1
05/10/2022,15:00:23,3989.50,3989.50,3989.50,3989.50,0,5
05/10/2022,15:00:24,3989.75,3989.75,3989.50,3989.50,8,8
05/10/2022,15:00:25,3990.25,3990.25,3990.25,3990.25,5,0
05/10/2022,15:00:27,3990.00,3990.00,3990.00,3990.00,0,1
05/10/2022,15:00:29,3990.25,3990.75,3990.25,3990.75,10,0
05/10/2022,15:00:32,3990.75,3990.75,3990.75,3990.75,2,0
05/10/2022,15:00:35,3990.50,3990.50,3990.25,3990.50,2,4
05/10/2022,15:00:36,3990.50,3990.75,3990.50,3990.75,2,0
05/10/2022,15:00:38,3990.25,3990.25,3990.00,3990.25,5,5
05/10/2022,15:00:39,3990.25,3990.25,3990.25,3990.25,1,0
05/10/2022,15:00:40,3990.25,3990.25,3990.25,3990.25,5,0
05/10/2022,15:00:41,3990.50,3990.50,3990.00,3990.00,1,1
05/10/2022,15:00:42,3990.25,3990.25,3990.25,3990.25,1,0
05/10/2022,15:00:43,3990.25,3990.25,3990.25,3990.25,1,0
05/10/2022,15:00:44,3989.75,3989.75,3989.75,3989.75,0,4
05/10/2022,15:00:45,3990.00,3990.25,3990.00,3990.25,2,0
05/10/2022,15:00:47,3990.25,3990.25,3990.25,3990.25,1,0
05/10/2022,15:00:48,3990.25,3990.25,3990.25,3990.25,1,0
05/10/2022,15:00:50,3990.50,3991.00,3990.50,3991.00,4,0
05/10/2022,15:00:54,3991.00,3991.00,3991.00,3991.00,1,0
05/10/2022,15:00:56,3991.25,3991.25,3991.25,3991.25,1,0
05/10/2022,15:00:58,3991.25,3991.25,3991.25,3991.25,1,0
05/10/2022,15:01:01,3991.25,3991.75,3991.25,3991.75,65,0
05/10/2022,15:01:02,3992.00,3992.00,3991.75,3992.00,7,1
05/10/2022,15:01:03,3991.50,3992.00,3991.00,3991.75,3,13
05/10/2022,15:01:04,3991.75,3992.00,3991.75,3992.00,1,2
05/10/2022,15:01:05,3992.00,3992.00,3992.00,3992.00,1,0
05/10/2022,15:01:09,3992.00,3992.00,3992.00,3992.00,3,0
05/10/2022,15:01:10,3992.00,3992.00,3992.00,3992.00,3,0
05/10/2022,15:01:12,3991.75,3991.75,3991.75,3991.75,0,1
05/10/2022,15:01:14,3991.75,3992.25,3991.75,3992.25,3,1
05/10/2022,15:01:15,3992.00,3992.00,3992.00,3992.00,0,5
05/10/2022,15:01:17,3992.00,3992.00,3991.75,3991.75,0,9
05/10/2022,15:01:18,3991.50,3991.75,3991.50,3991.75,1,8
05/10/2022,15:01:19,3991.25,3991.25,3991.25,3991.25,0,3
05/10/2022,15:01:20,3991.00,3991.00,3991.00,3991.00,0,1
05/10/2022,15:01:22,3991.25,3991.25,3991.25,3991.25,1,0
05/10/2022,15:01:23,3991.25,3991.25,3991.00,3991.00,1,4
05/10/2022,15:01:24,3991.25,3991.25,3991.25,3991.25,1,0
05/10/2022,15:01:25,3991.50,3991.50,3991.50,3991.50,5,0
05/10/2022,15:01:29,3991.50,3991.50,3991.50,3991.50,1,0
05/10/2022,15:01:30,3991.25,3991.25,3991.25,3991.25,0,1
05/10/2022,15:01:32,3991.25,3991.25,3991.25,3991.25,0,3
05/10/2022,15:01:33,3991.25,3991.25,3991.25,3991.25,0,3
05/10/2022,15:01:35,3991.25,3991.25,3991.25,3991.25,0,2
05/10/2022,15:01:36,3991.50,3991.50,3991.50,3991.50,20,0
05/10/2022,15:01:39,3991.50,3991.50,3991.00,3991.00,4,6
05/10/2022,15:01:40,3991.50,3991.50,3991.50,3991.50,1,0
05/10/2022,15:01:41,3991.50,3991.50,3991.50,3991.50,1,0
05/10/2022,15:01:42,3991.50,3991.50,3991.25,3991.25,1,2
05/10/2022,15:01:43,3991.75,3991.75,3991.25,3991.25,1,1
05/10/2022,15:01:49,3991.25,3991.25,3991.25,3991.25,0,1
05/10/2022,15:01:55,3991.25,3991.50,3991.25,3991.25,1,8
05/10/2022,15:01:57,3991.25,3991.50,3991.25,3991.50,5,7
05/10/2022,15:01:58,3991.25,3991.25,3991.25,3991.25,0,1
05/10/2022,15:02:01,3991.50,3991.50,3991.50,3991.50,3,0
05/10/2022,15:02:02,3991.50,3991.50,3991.50,3991.50,13,0
05/10/2022,15:02:03,3991.75,3991.75,3991.75,3991.75,1,0
05/10/2022,15:02:04,3991.75,3991.75,3991.75,3991.75,24,0
05/10/2022,15:02:05,3991.75,3991.75,3991.75,3991.75,1,0
05/10/2022,15:02:06,3991.75,3991.75,3991.75,3991.75,1,0
05/10/2022,15:02:07,3991.75,3991.75,3991.75,3991.75,1,0
05/10/2022,15:02:08,3991.75,3991.75,3991.75,3991.75,3,0
05/10/2022,15:02:09,3992.00,3992.00,3992.00,3992.00,1,0
05/10/2022,15:02:11,3992.00,3992.00,3992.00,3992.00,1,0
05/10/2022,15:02:13,3992.00,3992.00,3992.00,3992.00,3,0
05/10/2022,15:02:14,3991.75,3991.75,3991.75,3991.75,0,5
05/10/2022,15:02:15,3991.75,3991.75,3991.75,3991.75,0,1
05/10/2022,15:02:16,3991.50,3991.50,3991.50,3991.50,0,7
05/10/2022,15:02:20,3991.50,3991.50,3991.50,3991.50,0,1
05/10/2022,15:02:27,3991.50,3991.50,3991.50,3991.50,0,1
05/10/2022,15:02:38,3991.75,3991.75,3991.75,3991.75,1,0
05/10/2022,15:02:40,3991.50,3991.75,3991.50,3991.75,1,6
05/10/2022,15:02:43,3991.50,3991.50,3991.50,3991.50,0,1
05/10/2022,15:02:44,3991.75,3991.75,3991.75,3991.75,32,0
05/10/2022,15:02:46,3992.00,3992.00,3992.00,3992.00,8,0
05/10/2022,15:02:54,3991.75,3991.75,3991.75,3991.75,0,12
05/10/2022,15:02:57,3991.75,3991.75,3991.75,3991.75,0,1
05/10/2022,15:02:58,3992.00,3992.00,3992.00,3992.00,1,0
05/10/2022,15:03:08,3991.75,3991.75,3991.25,3991.50,1,18
05/10/2022,15:03:12,3991.50,3991.50,3991.50,3991.50,1,0
