"Date","Time","Open","High","Low","Close","Up","Down"
05/25/2022,15:00:01,3972.25,3972.25,3971.25,3971.75,36,20
05/25/2022,15:00:02,3971.75,3972.25,3971.75,3972.25,25,0
05/25/2022,15:00:03,3972.25,3972.25,3972.25,3972.25,2,0
05/25/2022,15:00:04,3972.25,3972.25,3972.00,3972.25,7,5
05/25/2022,15:00:05,3972.25,3973.00,3972.25,3972.75,9,1
05/25/2022,15:00:06,3972.50,3972.75,3972.50,3972.75,3,6
05/25/2022,15:00:07,3973.00,3973.75,3973.00,3973.50,16,2
05/25/2022,15:00:08,3973.50,3974.25,3973.50,3974.00,67,8
05/25/2022,15:00:09,3974.00,3974.25,3973.75,3973.75,4,20
05/25/2022,15:00:10,3973.75,3974.50,3973.75,3974.25,3,5
05/25/2022,15:00:11,3974.50,3974.50,3974.25,3974.25,1,14
05/25/2022,15:00:12,3974.25,3974.25,3974.00,3974.00,0,4
05/25/2022,15:00:13,3974.25,3974.25,3973.75,3973.75,1,11
05/25/2022,15:00:14,3974.00,3974.75,3973.75,3974.25,33,10
05/25/2022,15:00:15,3974.25,3974.25,3973.75,3974.25,2,7
05/25/2022,15:00:16,3974.25,3975.00,3974.25,3975.00,5,0
05/25/2022,15:00:17,3974.25,3974.50,3974.25,3974.50,2,2
05/25/2022,15:00:18,3974.25,3974.50,3974.25,3974.50,5,2
05/25/2022,15:00:19,3974.50,3974.50,3974.25,3974.25,5,8
05/25/2022,15:00:20,3974.25,3974.25,3974.25,3974.25,0,2
05/25/2022,15:00:21,3974.25,3974.25,3974.25,3974.25,0,2
05/25/2022,15:00:22,3974.25,3974.25,3974.00,3974.25,1,13
05/25/2022,15:00:23,3974.25,3974.25,3974.25,3974.25,1,0
05/25/2022,15:00:24,3974.25,3974.25,3974.25,3974.25,2,0
05/25/2022,15:00:25,3974.25,3974.25,3974.25,3974.25,12,0
05/25/2022,15:00:26,3974.50,3974.50,3974.00,3974.00,1,3
05/25/2022,15:00:27,3974.25,3974.50,3974.00,3974.00,5,2
05/25/2022,15:00:28,3974.25,3974.25,3974.25,3974.25,2,0
05/25/2022,15:00:29,3974.25,3974.50,3974.25,3974.50,10,0
05/25/2022,15:00:30,3974.50,3974.50,3974.25,3974.25,1,2
05/25/2022,15:00:31,3974.25,3974.25,3974.00,3974.00,4,12
05/25/2022,15:00:32,3974.25,3974.25,3974.00,3974.00,4,1
05/25/2022,15:00:33,3974.00,3974.25,3974.00,3974.00,1,5
05/25/2022,15:00:34,3974.00,3974.25,3974.00,3974.25,1,2
05/25/2022,15:00:35,3974.25,3974.25,3974.00,3974.00,11,3
05/25/2022,15:00:36,3974.00,3974.75,3974.00,3974.50,6,7
05/25/2022,15:00:37,3974.75,3975.25,3974.50,3975.00,32,7
05/25/2022,15:00:38,3975.25,3975.25,3975.00,3975.00,1,2
05/25/2022,15:00:39,3975.00,3975.00,3974.75,3975.00,2,5
05/25/2022,15:00:40,3974.50,3975.25,3974.50,3974.75,5,4
05/25/2022,15:00:41,3974.50,3975.00,3974.50,3975.00,2,1
05/25/2022,15:00:42,3975.25,3975.25,3974.75,3974.75,1,3
05/25/2022,15:00:43,3975.00,3975.25,3975.00,3975.00,5,1
05/25/2022,15:00:44,3975.50,3975.50,3975.00,3975.00,2,2
05/25/2022,15:00:45,3974.75,3974.75,3974.75,3974.75,0,4
05/25/2022,15:00:46,3974.75,3974.75,3974.50,3974.50,0,6
05/25/2022,15:00:47,3974.75,3974.75,3974.75,3974.75,1,0
05/25/2022,15:00:48,3974.75,3974.75,3974.75,3974.75,1,0
05/25/2022,15:00:49,3974.50,3974.50,3974.50,3974.50,0,2
05/25/2022,15:00:50,3974.50,3974.50,3974.25,3974.25,0,6
05/25/2022,15:00:51,3974.25,3975.00,3974.25,3975.00,11,2
05/25/2022,15:00:52,3974.50,3974.50,3974.50,3974.50,0,1
05/25/2022,15:00:53,3974.50,3974.75,3974.50,3974.75,1,2
05/25/2022,15:00:54,3974.50,3974.50,3974.25,3974.50,2,2
05/25/2022,15:00:55,3974.50,3974.75,3974.50,3974.75,2,0
05/25/2022,15:00:56,3974.25,3975.00,3974.25,3975.00,1,2
05/25/2022,15:00:57,3974.50,3974.75,3974.50,3974.75,1,1
05/25/2022,15:00:58,3974.75,3974.75,3974.50,3974.50,1,3
05/25/2022,15:00:59,3974.75,3975.00,3974.75,3975.00,5,0
05/25/2022,15:01:00,3975.00,3975.00,3974.75,3974.75,2,2
05/25/2022,15:01:01,3975.25,3975.25,3975.00,3975.00,5,2
05/25/2022,15:01:02,3975.25,3975.25,3975.00,3975.25,2,4
05/25/2022,15:01:03,3975.00,3975.00,3975.00,3975.00,0,1
05/25/2022,15:01:04,3975.00,3975.00,3975.00,3975.00,0,1
05/25/2022,15:01:06,3974.75,3974.75,3974.50,3974.50,1,16
05/25/2022,15:01:07,3974.50,3974.50,3974.50,3974.50,0,2
05/25/2022,15:01:08,3974.50,3974.50,3974.50,3974.50,0,2
05/25/2022,15:01:09,3974.50,3974.50,3974.50,3974.50,0,3
05/25/2022,15:01:12,3974.25,3974.25,3974.25,3974.25,0,2
05/25/2022,15:01:13,3974.50,3975.00,3974.50,3974.75,15,1
05/25/2022,15:01:14,3974.50,3974.75,3974.50,3974.75,2,1
05/25/2022,15:01:16,3975.00,3975.00,3975.00,3975.00,2,0
05/25/2022,15:01:17,3975.00,3975.00,3975.00,3975.00,2,0
05/25/2022,15:01:18,3974.75,3975.00,3974.75,3974.75,2,3
05/25/2022,15:01:19,3975.00,3975.00,3974.75,3974.75,1,4
05/25/2022,15:01:20,3974.75,3974.75,3974.75,3974.75,0,1
05/25/2022,15:01:21,3974.50,3974.50,3974.50,3974.50,0,1
05/25/2022,15:01:22,3974.75,3974.75,3974.75,3974.75,1,0
05/25/2022,15:01:23,3974.75,3974.75,3974.75,3974.75,1,0
05/25/2022,15:01:25,3974.75,3974.75,3974.50,3974.50,2,1
05/25/2022,15:01:27,3974.75,3974.75,3974.75,3974.75,5,0
05/25/2022,15:01:28,3974.75,3975.00,3974.75,3975.00,2,0
05/25/2022,15:01:29,3974.50,3974.50,3974.50,3974.50,0,3
05/25/2022,15:01:30,3974.50,3974.50,3974.50,3974.50,0,7
05/25/2022,15:01:31,3974.75,3974.75,3974.75,3974.75,1,0
05/25/2022,15:01:33,3974.75,3974.75,3974.75,3974.75,2,0
05/25/2022,15:01:34,3974.75,3974.75,3974.75,3974.75,1,0
05/25/2022,15:01:35,3974.50,3974.50,3974.50,3974.50,0,1
05/25/2022,15:01:38,3974.75,3975.00,3974.50,3975.00,11,30
05/25/2022,15:01:39,3974.50,3974.50,3974.50,3974.50,0,1
05/25/2022,15:01:40,3974.75,3974.75,3974.75,3974.75,1,0
05/25/2022,15:01:41,3974.75,3974.75,3974.75,3974.75,2,0
05/25/2022,15:01:43,3974.75,3974.75,3974.50,3974.50,4,4
05/25/2022,15:01:45,3974.75,3974.75,3974.75,3974.75,7,0
05/25/2022,15:01:46,3974.75,3974.75,3974.50,3974.50,3,1
05/25/2022,15:01:47,3975.00,3975.00,3974.75,3974.75,2,1
05/25/2022,15:01:49,3975.00,3975.00,3974.75,3974.75,5,1
05/25/2022,15:01:50,3975.00,3975.00,3975.00,3975.00,5,0
05/25/2022,15:01:51,3974.75,3974.75,3974.75,3974.75,0,2
05/25/2022,15:01:52,3975.00,3975.25,3974.75,3975.00,5,3
05/25/2022,15:01:53,3975.00,3975.00,3975.00,3975.00,1,0
05/25/2022,15:01:56,3974.75,3975.00,3974.50,3975.00,3,26
05/25/2022,15:01:57,3975.25,3975.25,3975.25,3975.25,1,0
05/25/2022,15:01:58,3975.25,3975.25,3975.25,3975.25,3,0
05/25/2022,15:01:59,3974.75,3974.75,3974.75,3974.75,0,1
05/25/2022,15:02:05,3975.25,3975.25,3975.25,3975.25,17,0
05/25/2022,15:02:06,3975.25,3975.25,3975.25,3975.25,4,0
05/25/2022,15:02:10,3975.25,3975.25,3975.25,3975.25,1,0
05/25/2022,15:02:11,3975.25,3975.25,3975.25,3975.25,3,0
05/25/2022,15:02:12,3975.50,3975.50,3975.25,3975.25,2,5
05/25/2022,15:02:13,3975.50,3975.50,3975.25,3975.25,1,3
05/25/2022,15:02:16,3975.25,3975.50,3975.25,3975.50,25,7
05/25/2022,15:02:17,3975.00,3975.50,3975.00,3975.50,1,2
05/25/2022,15:02:19,3975.25,3975.25,3975.25,3975.25,0,1
05/25/2022,15:02:23,3975.50,3975.50,3975.50,3975.50,1,0
05/25/2022,15:02:24,3975.50,3975.50,3975.00,3975.00,1,28
05/25/2022,15:02:25,3975.25,3975.25,3975.25,3975.25,1,0
05/25/2022,15:02:29,3975.00,3975.00,3974.75,3974.75,0,3
05/25/2022,15:02:30,3974.75,3974.75,3974.50,3974.50,0,8
05/25/2022,15:02:33,3974.75,3975.00,3974.75,3975.00,5,0
05/25/2022,15:02:34,3974.50,3974.50,3974.50,3974.50,0,1
05/25/2022,15:02:35,3974.50,3974.50,3974.50,3974.50,0,35
05/25/2022,15:02:36,3974.75,3974.75,3974.75,3974.75,1,0
05/25/2022,15:02:37,3974.75,3974.75,3974.75,3974.75,1,0
05/25/2022,15:02:40,3974.50,3974.50,3974.50,3974.50,0,2
05/25/2022,15:02:41,3974.25,3974.50,3974.25,3974.50,1,3
05/25/2022,15:02:44,3974.25,3974.25,3974.25,3974.25,0,1
05/25/2022,15:02:46,3974.25,3974.25,3974.00,3974.00,0,52
05/25/2022,15:02:47,3974.00,3974.00,3974.00,3974.00,0,13
05/25/2022,15:02:48,3974.00,3974.00,3974.00,3974.00,0,7
05/25/2022,15:02:49,3974.25,3974.25,3974.25,3974.25,6,0
05/25/2022,15:02:51,3974.00,3974.00,3974.00,3974.00,0,3
05/25/2022,15:02:52,3974.00,3974.25,3974.00,3974.25,2,1
